2023-05-11 06:50:30,2023-05-11 06:51:30,Twitter for Advertisers,2
2023-05-11 06:50:30,2023-05-11 06:51:30,LinkedIn,3
2023-05-11 06:50:30,2023-05-11 06:51:30,Triberr,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Qualtrics Social Connect,7
2023-05-11 06:50:30,2023-05-11 06:51:30,Hootsuite Inc.,16
2023-05-11 06:50:30,2023-05-11 06:51:30,43,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Metricool,2
2023-05-11 06:50:30,2023-05-11 06:51:30,0
2023-05-11 06:50:30,2023-05-11 06:51:30,LaterMedia,4
2023-05-11 06:50:30,2023-05-11 06:51:30,Twitterrific for iOS,2
2023-05-11 06:50:30,2023-05-11 06:51:30,Sprout Social,4
2023-05-11 06:50:30,2023-05-11 06:51:30,IFTTT,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Salesforce - Social Studio,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Hookle App,2
2023-05-11 06:50:30,2023-05-11 06:51:30,Sprinklr,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Twitter for iPad,33
2023-05-11 06:50:30,2023-05-11 06:51:30,Twitter for iPhone,1556
2023-05-11 06:50:30,2023-05-11 06:51:30,Buffer,6
2023-05-11 06:50:30,2023-05-11 06:51:30,Flamingo for Android,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Chorus publishing platform,2
2023-05-11 06:50:30,2023-05-11 06:51:30,Zoho Social,1
2023-05-11 06:50:30,2023-05-11 06:51:30,TweetDeck,50
2023-05-11 06:50:30,2023-05-11 06:51:30,HubSpot,1
2023-05-11 06:50:30,2023-05-11 06:51:30,TweetDeck Web App,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Echofon,2
2023-05-11 06:50:30,2023-05-11 06:51:30,Loomly,2
2023-05-11 06:50:30,2023-05-11 06:51:30,Twittimer,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Instagram,8
